Niveau de vie Commune,Niveau de vie Département,DEPCOM,PTOT,Nom_commune,Code_postal,coordonnees_gps,lng,lat
25310,,01204,735.0,LE POIZAT LALLEYRIAT,1130.0,"46.145021165,5.695220905",46.145021165,5.695220905
25310,,01204,735.0,LE POIZAT LALLEYRIAT,1130.0,"46.145021165,5.695220905",46.145021165,5.695220905
24790,,01206,283.0,LANTENAY,1430.0,"46.054059837,5.54099209",46.054059837,5.54099209
27950,,01207,328.0,LAPEYROUSE,1330.0,"45.985680859,4.98170543",45.985680859,4.98170543
20770,,01208,130.0,LAVOURS,1350.0,"45.810937073,5.772831597",45.810937073,5.772831597
29950,,01209,754.0,LEAZ,1200.0,"46.108668793,5.876787474",46.108668793,5.876787474
23990,,01210,231.0,LELEX,1410.0,"46.285331599,5.928941563",46.285331599,5.928941563
23640,,01211,1439.0,LENT,1240.0,"46.116387961,5.201523196",46.116387961,5.201523196
20990,,01212,743.0,LESCHEROUX,1560.0,"46.411040706,5.15082556",46.411040706,5.15082556
23240,,01213,1332.0,LEYMENT,1150.0,"45.927266966,5.294538891",45.927266966,5.294538891
24020,,01214,156.0,LEYSSARD,1450.0,"46.16192206,5.476245851",46.16192206,5.476245851
25290,,01215,134.0,SURJOUX LHOPITAL,1420.0,"46.027652991,5.783270343",46.027652991,5.783270343
25290,,01215,134.0,SURJOUX LHOPITAL,1420.0,"46.027652991,5.783270343",46.027652991,5.783270343
22060,,01216,910.0,LHUIS,1680.0,"45.744604033,5.53583426",45.744604033,5.53583426
18410,,01219,171.0,LOMPNAS,1680.0,"45.810512662,5.523048258",45.810512662,5.523048258
22070,,01224,3176.0,LOYETTES,1360.0,"45.792262182,5.217785116",45.792262182,5.217785116
25080,,01225,393.0,LURCY,1090.0,"46.061964713,4.780685202",46.061964713,4.780685202
23370,,01227,657.0,MAGNIEU,1300.0,"45.778861375,5.722906834",45.778861375,5.722906834
23370,,01227,657.0,MAGNIEU,1300.0,"45.778861375,5.722906834",45.778861375,5.722906834
