Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
02119;Brécy;321;88;184;55;56.4
02120;Brenelle;196;54;97;45;49.5
02121;Breny;237;67;131;42;54.5
02122;Brie;55;14;23;18;41.8
02123;Brissay-Choigny;299;79;158;63;52.5
02124;Brissy-Hamégicourt;651;168;332;151;51
02125;Brumetz;183;61;110;22;56.8
02126;Brunehamel;448;121;209;125;45.9
02127;Bruyères-sur-Fère;191;53;99;40;51.6
02128;Bruyères-et-Montbérault;1447;373;725;377;49.1
02129;Bruys;19;4;10;4;57.9
02130;Bucilly;198;49;105;40;53.9
02131;Bucy-le-Long;1883;504;942;414;50.6
02132;Bucy-lès-Cerny;192;63;106;25;54.8
02133;Bucy-lès-Pierrepont;403;123;209;72;51.8
02134;Buire;854;241;422;199;48.9
02135;Buironfosse;1148;318;574;265;49.6
02136;Burelles;128;33;72;23;56.2
02137;Bussiares;151;63;83;14;51.7
02138;Buzancy;200;53;109;38;54.7
02139;Caillouël-Crépigny;447;112;245;86;55.3
02140;Camelin;457;146;231;79;50.6
02141;La Capelle;1772;467;866;445;48.7
02142;Castres;251;84;140;29;55.3
02143;Le Catelet;184;57;92;37;49.5
02144;Caulaincourt;140;48;80;16;55.6
02145;Caumont;545;155;297;93;54.5
02146;Celles-lès-Condé;96;27;46;20;49.4
02148;Celles-sur-Aisne;256;74;140;41;54.8
02149;Cerizy;60;19;32;11;51.7
02150;Cerny-en-Laonnois;62;17;33;13;51.6
02151;Cerny-lès-Bucy;116;32;63;21;53.9
02152;Cerseuil;87;23;43;23;48.3
02153;Cessières-Suzy;775;220;416;128;54.4
02154;Chacrise;365;106;202;57;55.3
02155;Chaillevois;177;41;91;34;55.1
02156;Chalandry;258;83;135;39;52.6
02157;Chambry;834;219;402;216;48.1
02158;Chamouille;271;99;139;35;50.9
02159;Champs;302;87;150;58;51
02160;Chaourse;527;175;250;119;46
02162;La Chapelle-sur-Chézy;298;110;148;32;51
02163;Charly-sur-Marne;2585;814;1250;520;48.4
