Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
200066876;CA de Châlons-en-Champagne;79563;24410;40080;15128;50.3
200066884;CC Quercy Vert-Aveyron;22620;6306;11417;4627;51.1
200066892;CC de Vendeuvre-Soulaines;7532;2007;3810;1800;50
200066918;CA Alès Agglomération;132799;34380;63193;33716;48.1
200066926;CA Grand Auch Cœur de Gascogne;39230;10069;18964;9865;48.8
200066975;CC Senlis Sud Oise;24658;6968;12588;4615;52.1
200067023;CC Coutances Mer et Bocage;47720;12080;22808;12896;47.7
200067031;CC Côte Ouest Centre Manche;21931;5450;10351;6131;47.2
200067049;CC Spelunca-Liamone;7615;1203;3792;2567;50.1
200067064;CC Decazeville Communauté;18370;4213;8451;5969;45.4
200067072;CC Haut-Léon Communauté;31636;7628;15378;8754;48.4
200067080;CC Chablis Villages et Terroirs;14722;3853;7543;3427;50.9
200067106;CA du Pays Basque;318709;77684;159159;78352;50.5
200067114;CA de l'Auxerrois;67237;18352;33233;16066;49.1
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;11131;3117;5603;2338;50.7
200067130;CC de Puisaye-Forterre;33770;7436;16234;10271;47.8
200067155;CC Saint Affricain, Roquefort, Sept Vallons;13624;3341;6604;3695;48.4
200067163;CC Monts, Rance et Rougier;6253;1365;3017;1879;48.2
200067171;CC Aubrac, Carladez et Viadène;10053;1945;4628;3517;45.9
200067189;CC Creuse Sud Ouest;13488;2915;6359;4226;47.1
200067197;CC Monts d'Arrée Communauté;7632;1686;3751;2202;49.1
200067205;CA du Cotentin;178002;48721;91637;38242;51.3
200067213;CU du Grand Reims;296749;98628;145777;51749;49.2
200067239;CC des Luys en Béarn;28931;8183;14726;5770;51.3
200067247;CC Pleyben-Châteaulin-Porzay;22678;6328;11470;5048;50.2
