name,address,business_status,latitude,longitude
Pista de pàdel càmping,Vilallonga de Ter,OPERATIONAL,42.3342856,2.3066034
Pista de pàdel de Maçanet de Cabrenys,Maçanet de Cabrenys,OPERATIONAL,42.3869151,2.7555915
LE BOULOU TENNIS,"15 Rue Ronsard, Villemolaque",OPERATIONAL,42.520025,2.826869
Tennis Paddle Club Banyuls Sur Mer,"Route Mas Reig, Banyuls-sur-Mer",OPERATIONAL,42.4745896,3.119276
Club Padel Garbí Llançà,"Carrer 8 de Març, s/n, Llançà",OPERATIONAL,42.358715,3.1532987
Tennis Club Argelesien,"22 Av. Molière, Argelès-sur-Mer",OPERATIONAL,42.5512003,3.030048
Pista de Tenis & Padel LA SORRA,"South Place. 5 la SORRA, 2, 2R, El Port de la Selva",OPERATIONAL,42.3275172,3.2073265
BANYULS AVIRON OLYMPIC TENNIS,"Rte du Mas Reig, Banyuls-sur-Mer",OPERATIONAL,42.476855,3.117454
Club Padel Garbí Llançà,"Carrer 8 de Març, s/n, Llançà",OPERATIONAL,42.358715,3.1532987
Tennis Paddle Club Banyuls Sur Mer,"Route Mas Reig, Banyuls-sur-Mer",OPERATIONAL,42.4745896,3.119276
Pista de Tenis & Padel LA SORRA,"South Place. 5 la SORRA, 2, 2R, El Port de la Selva",OPERATIONAL,42.3275172,3.2073265
Padel Marcos Garcia,"Pl. Poligono Industrial, 33, Aguilar de Campoo",OPERATIONAL,42.78354969999999,-4.2528312
Pistas de Pádel,Herrera de Pisuerga,OPERATIONAL,42.5927301,-4.3357314
Pistas de Pádel,"Tr.ª Marqués Aguilar, 19, Aguilar de Campoo",OPERATIONAL,42.7897594,-4.2567904
Padel Marcos Garcia,"Pl. Poligono Industrial, 33, Aguilar de Campoo",OPERATIONAL,42.78354969999999,-4.2528312
Pista de pádel de Montorio,Montorio,OPERATIONAL,42.5856224,-3.775722
Bureba Padel,"Av. Burgos, 66, Briviesca",OPERATIONAL,42.5616013,-3.3162956
Pista Padel,"Calle Rio Paralela, 5, Lences",OPERATIONAL,42.6304124,-3.4901454
Pista de padel de Oña,"C. Estación, 5, Oña",OPERATIONAL,42.7364293,-3.4130292
Bureba Padel,"Av. Burgos, 66, Briviesca",OPERATIONAL,42.5616013,-3.3162956
Pádel Ebro,"C. Orón, 6, Miranda de Ebro",OPERATIONAL,42.6931433,-2.9221869
MPC Miranda Pádel Club,"Pol. Ind. Bayas, 17, Miranda de Ebro",OPERATIONAL,42.6957605,-2.9145247
Pista de Pádel,"C. Cercas Harresien, 4, La Puebla de Arganzón",OPERATIONAL,42.7657945,-2.831061
Pista de Pádel,"Cam. de Baños, 5, Casalarreina",OPERATIONAL,42.5462612,-2.9151789
Pista Padel,"Colegio Público San Miguel, Ctra. Balsa, 54, Larraga",OPERATIONAL,42.5592254,-1.8563867
PISTA DE PADEL,Villatuerta,OPERATIONAL,42.661713,-1.9885849
"Municipial Sports Centre ""San Ginés""","31132, Calle Regueta, 2, Villatuerta",OPERATIONAL,42.6612128,-1.9895375
IMPACT PADEL SPORT,"Calle G, 43, Galar",OPERATIONAL,42.7806696,-1.6407007
MUNDO CAPITANI,"Pol. nº, Calle a, 33, Mutilva",OPERATIONAL,42.7856068,-1.624048
Navarra-Nafarroa Padel,"C. Cam. de Labiano, 49, Mutilva Alta",OPERATIONAL,42.7953278,-1.6137682
PÁDEL REYNO DE NAVARRA,"C. E, 1, Beriáin",OPERATIONAL,42.7356448,-1.6315985
Tray Padel Club,"Calle a, 66, Mutilva Baja",OPERATIONAL,42.7842621,-1.6234621
Pista de Pádel Eneriz,"C. Aranzulo, 5, Enériz",OPERATIONAL,42.6688652,-1.7256203
Pista Padel,"Colegio Público San Miguel, Ctra. Balsa, 54, Larraga",OPERATIONAL,42.5592254,-1.8563867
FEDERACIÓN NAVARRA DE PÁDEL,"PLAZA AIZAGERRIA, 1 2ª Planta, Pamplona",OPERATIONAL,42.7955029,-1.6349699
DALE FACTORY,"Polígono Mutilva, CA-33, Mutilva",OPERATIONAL,42.7876705,-1.6262936
Fronton Cordovilla,"Av. de Zaragoza, Cordovilla",OPERATIONAL,42.7940597,-1.6395237
Parking clientes Navarra Padel,"C. Cam. de Labiano, 49, Aranguren",OPERATIONAL,42.7957571,-1.6137293
MP MegaPadel,"Av. Constitución, 23, Artajona",OPERATIONAL,42.5911724,-1.7593978
Torneo padel Hnos. Puñal,"C. Cam. de Labiano, 49, Aranguren",CLOSED_TEMPORARILY,42.7956989,-1.6136186
IMPACT PADEL SPORT,"Calle G, 43, Galar",OPERATIONAL,42.7806696,-1.6407007
MUNDO CAPITANI,"Pol. nº, Calle a, 33, Mutilva",OPERATIONAL,42.7856068,-1.624048
Navarra-Nafarroa Padel,"C. Cam. de Labiano, 49, Mutilva Alta",OPERATIONAL,42.7953278,-1.6137682
PÁDEL REYNO DE NAVARRA,"C. E, 1, Beriáin",OPERATIONAL,42.7356448,-1.6315985
Tray Padel Club,"Calle a, 66, Mutilva Baja",OPERATIONAL,42.7842621,-1.6234621
FEDERACIÓN NAVARRA DE PÁDEL,"PLAZA AIZAGERRIA, 1 2ª Planta, Pamplona",OPERATIONAL,42.7955029,-1.6349699
DALE FACTORY,"Polígono Mutilva, CA-33, Mutilva",OPERATIONAL,42.7876705,-1.6262936
Fronton Cordovilla,"Av. de Zaragoza, Cordovilla",OPERATIONAL,42.7940597,-1.6395237
Parking clientes Navarra Padel,"C. Cam. de Labiano, 49, Aranguren",OPERATIONAL,42.7957571,-1.6137293
Torneo padel Hnos. Puñal,"C. Cam. de Labiano, 49, Aranguren",CLOSED_TEMPORARILY,42.7956989,-1.6136186
Pista de Pádel,A-1602,OPERATIONAL,42.6019674,-0.8517998
SMASH padel jaca,"C. Río Gállego, 14, Jaca",OPERATIONAL,42.5625384,-0.566735
Pista de padel,Villanúa,OPERATIONAL,42.6791383,-0.5356453
SMASH padel jaca,"C. Río Gállego, 14, Jaca",OPERATIONAL,42.5625384,-0.566735
Pista de pádel,"C. Fernando el Católico, 24, Jaca",OPERATIONAL,42.5669361,-0.5557926
Gimnasio Sparta Sport Center Jaca,"C. Río Ijuez, 11, Jaca",OPERATIONAL,42.5630656,-0.5679019
Club Padel Valle Benasque,"C. San Pedro, Benasque",OPERATIONAL,42.6031745,0.522486
Pista de Padel Benasque,Benasque,OPERATIONAL,42.6033134,0.5291075
Pista de padel,Linsoles,OPERATIONAL,42.5898338,0.5057264
Club Tenis Cerler,Cerler,OPERATIONAL,42.59114539999999,0.5395865
Club Padel Valle Benasque,"C. San Pedro, Benasque",OPERATIONAL,42.6031745,0.522486
Pista Padel,Vielha,OPERATIONAL,42.700376,0.8017921000000001
Pista de Padel Benasque,Benasque,OPERATIONAL,42.6033134,0.5291075
Pista de padel,Linsoles,OPERATIONAL,42.5898338,0.5057264
Pista de Pàdel Municipal,Vilamòs,OPERATIONAL,42.7461822,0.7298897999999999
OC SPORT CLUB,"Carrer Aiguaprima, nave 7, Vielha",OPERATIONAL,42.7099637,0.7979786
Club Tenis Cerler,Cerler,OPERATIONAL,42.59114539999999,0.5395865
Pista Padel,Vielha,OPERATIONAL,42.700376,0.8017921000000001
Club & Escola. Tennis & Pàdel. La Massana ANDORRA,"Tennis & Pàdel Club (La Massana - Serradells, Antic Camí Ral, s/n, La Massana",OPERATIONAL,42.544344,1.516863
MyWorldPadel,"Av. Príncep Benlloch, Encamp",OPERATIONAL,42.534741,1.5787433
Club & Escola. Tennis & Pàdel. La Massana ANDORRA,"Tennis & Pàdel Club (La Massana - Serradells, Antic Camí Ral, s/n, La Massana",OPERATIONAL,42.544344,1.516863
MyWorldPadel,"Av. Príncep Benlloch, Encamp",OPERATIONAL,42.534741,1.5787433
"AnyósPark, el Club","Carretera d'Anyós, sn, Anyós, La Massana",OPERATIONAL,42.53267779999999,1.5239574
AX LES THERMES TENNIS CLUB,"Av. d'Andorre, Ax-les-Thermes",OPERATIONAL,42.711716,1.842997
LV SPORT ILLE SUR TET,"4 Camp Llarg, Ille-sur-Têt",OPERATIONAL,42.678011,2.635272
Tennis Squash Padel Club le Mas,"Chemin Arcades, Avenue d'Espagne, Perpignan",OPERATIONAL,42.678406,2.8889647
Central Padel Perpignan Indoor,"1155 Av. Julien Panchot, Perpignan",OPERATIONAL,42.6879421,2.8744314
Tennis/Padel Club Saleillenc,"complexe sportif de plein air du moulin, Chem. de Saint-Nazaire, Saleilles",OPERATIONAL,42.6566055,2.9598632
Can padel,"2 Imp. du Conflent, Saleilles",OPERATIONAL,42.6599197,2.9280969
squash padel parc ducup,"2 Rue Etienne Lenoir, Perpignan",OPERATIONAL,42.6912478,2.8493296
TC DU MAS,"Av. d'Espagne, Perpignan",OPERATIONAL,42.679436,2.892412
Raquette Padel & Tennis,"ZA Sud Roussillon, 4 impasse du conflent, Saleilles",OPERATIONAL,42.6604765,2.9277472
Squash Club Parc Ducup,"2 Rue Etienne Lenoir, Perpignan",OPERATIONAL,42.6912399,2.8502646
TENNIS/PADEL,"Av. du Clos d'en Cante, Espira-de-l'Agly",OPERATIONAL,42.7711402,2.8436614
Complexe Sportif du Roussillon,"Imp. Alfred Sauvy, Rivesaltes",OPERATIONAL,42.7850913,2.9000057
USC MOULIN A VENT,"90 Av. Paul Alduy, Perpignan",OPERATIONAL,42.6751849,2.9042751
TC SALEILLENC,"Chemin de Saint-Nazaire, Saleilles",OPERATIONAL,42.676598,2.905275
SARL LV SPORTS,"161 Rue de Munich, Perpignan",OPERATIONAL,42.685347,2.853682
TC ESPIRA,"Av. du Clos d'en Cante, Espira-de-l'Agly",OPERATIONAL,42.770785,2.843815
Ipc Sport,"1155 Av. Julien Panchot, Perpignan",OPERATIONAL,42.68765,2.8745289
Gestion Sports,"3 Rue du Gargal, Saint-Cyprien",OPERATIONAL,42.612986,2.992835
USAP TENNIS,"11 All. Aimé Giral, Saint-Estève",OPERATIONAL,42.7146674,2.8898485
